tree_idx,node_idx,feature_idx,split_value,left_child,right_child,is_leaf,label
17,1,4,5.942466974258423,2,5,0,-1
17,2,2,2.0849626064300537,3,4,0,-1
17,3,-1,-1.0,-1,-1,1,1
17,4,-1,-1.0,-1,-1,1,0
17,5,4,7.458289623260498,6,13,0,-1
17,6,1,19.173720359802246,7,8,0,-1
17,7,-1,-1.0,-1,-1,1,1
17,8,3,11.67054796218872,9,10,0,-1
17,9,-1,-1.0,-1,-1,1,1
17,10,2,19.206486701965332,11,12,0,-1
17,11,-1,-1.0,-1,-1,1,1
17,12,-1,-1.0,-1,-1,1,0
17,13,3,29.712806701660156,14,17,0,-1
17,14,0,32.164485931396484,15,16,0,-1
17,15,-1,-1.0,-1,-1,1,1
17,16,-1,-1.0,-1,-1,1,0
17,17,-1,-1.0,-1,-1,1,1
17,18,3,19.162381172180176,19,20,0,-1
17,19,-1,-1.0,-1,-1,1,0
17,20,3,27.543007850646973,21,24,0,-1
17,21,4,7.864531517028809,22,23,0,-1
17,22,-1,-1.0,-1,-1,1,0
17,23,-1,-1.0,-1,-1,1,1
17,24,-1,-1.0,-1,-1,1,1
18,0,4,7.926435470581055,1,16,0,-1
18,1,0,26.376123428344727,2,7,0,-1
18,2,0,11.339015007019043,3,6,0,-1
18,3,2,19.56392478942871,4,5,0,-1
18,4,-1,-1.0,-1,-1,1,0
18,5,-1,-1.0,-1,-1,1,1
18,6,-1,-1.0,-1,-1,1,1
18,7,4,5.942466974258423,8,9,0,-1
18,8,-1,-1.0,-1,-1,1,0
18,9,0,32.57198715209961,10,11,0,-1
18,10,-1,-1.0,-1,-1,1,1
18,11,3,28.98204231262207,12,15,0,-1
18,12,0,33.09280014038086,13,14,0,-1
18,13,-1,-1.0,-1,-1,1,0
18,14,-1,-1.0,-1,-1,1,1
18,15,-1,-1.0,-1,-1,1,1
18,16,2,10.104507684707642,17,18,0,-1
18,17,-1,-1.0,-1,-1,1,1
18,18,-1,-1.0,-1,-1,1,0
19,0,4,7.95078706741333,1,16,0,-1
19,1,3,24.746685028076172,2,5,0,-1
19,2,4,5.9540088176727295,3,4,0,-1
19,3,-1,-1.0,-1,-1,1,0
19,4,-1,-1.0,-1,-1,1,1
19,5,0,27.72883701324463,6,7,0,-1
19,6,-1,-1.0,-1,-1,1,0
19,7,3,28.411312103271484,8,15,0,-1
19,8,0,32.13433647155762,9,10,0,-1
19,9,-1,-1.0,-1,-1,1,1
19,10,4,7.251353740692139,11,14,0,-1
19,11,3,27.217480659484863,12,13,0,-1
19,12,-1,-1.0,-1,-1,1,1
19,13,-1,-1.0,-1,-1,1,0
19,14,-1,-1.0,-1,-1,1,1
19,15,-1,-1.0,-1,-1,1,1
19,16,1,9.6960768699646,17,22,0,-1
19,17,1,3.0849624276161194,18,19,0,-1
19,18,-1,-1.0,-1,-1,1,1
19,19,4,8.41007661819458,20,21,0,-1
19,20,-1,-1.0,-1,-1,1,0
19,21,-1,-1.0,-1,-1,1,1
19,22,-1,-1.0,-1,-1,1,0
20,0,4,7.94175124168396,1,28,0,-1
20,1,2,15.328497409820557,2,19,0,-1
20,2,1,4.1676952838897705,3,14,0,-1
20,3,2,1.292481243610382,4,11,0,-1
20,4,1,1.0,5,10,0,-1
20,5,4,7.761413335800171,6,7,0,-1
20,6,-1,-1.0,-1,-1,1,1
20,7,0,35.47762489318848,8,9,0,-1
20,8,-1,-1.0,-1,-1,1,0
20,9,-1,-1.0,-1,-1,1,1
20,10,-1,-1.0,-1,-1,1,1
20,11,3,26.63372802734375,12,13,0,-1
20,12,-1,-1.0,-1,-1,1,1
20,13,-1,-1.0,-1,-1,1,0
20,14,3,24.141979217529297,15,18,0,-1
20,15,4,6.584571123123169,16,17,0,-1
20,16,-1,-1.0,-1,-1,1,0
20,17,-1,-1.0,-1,-1,1,1
20,18,-1,-1.0,-1,-1,1,0
20,19,1,18.79175090789795,20,21,0,-1
20,20,-1,-1.0,-1,-1,1,1
20,21,0,12.800505638122559,22,27,0,-1
20,22,1,19.38801860809326,23,26,0,-1
20,23,4,7.218616008758545,24,25,0,-1
20,24,-1,-1.0,-1,-1,1,1
20,25,-1,-1.0,-1,-1,1,0
20,26,-1,-1.0,-1,-1,1,1
20,27,-1,-1.0,-1,-1,1,0
20,28,0,25.599342346191406,29,30,0,-1
20,29,-1,-1.0,-1,-1,1,0
20,30,-1,-1.0,-1,-1,1,1
21,0,4,7.709617853164673,1,10,0,-1
21,1,4,5.942466974258423,2,3,0,-1
21,2,-1,-1.0,-1,-1,1,0
21,3,3,27.600316047668457,4,5,0,-1
21,4,-1,-1.0,-1,-1,1,1
21,5,0,33.53493690490723,6,9,0,-1
21,6,4,7.264013290405273,7,8,0,-1
21,7,-1,-1.0,-1,-1,1,1
21,8,-1,-1.0,-1,-1,1,0
21,9,-1,-1.0,-1,-1,1,1
21,10,3,19.39247226715088,11,12,0,-1
21,11,-1,-1.0,-1,-1,1,0
21,12,4,7.856048583984375,13,14,0,-1
21,13,-1,-1.0,-1,-1,1,0
21,14,4,7.962545394897461,15,18,0,-1
21,15,2,0.7924812436103821,16,17,0,-1
21,16,-1,-1.0,-1,-1,1,1
21,17,-1,-1.0,-1,-1,1,0
21,18,-1,-1.0,-1,-1,1,1
22,0,1,5.239890098571777,1,10,0,-1
22,1,4,7.361937046051025,2,3,0,-1
22,2,-1,-1.0,-1,-1,1,1
22,3,4,7.370680809020996,4,5,0,-1
22,4,-1,-1.0,-1,-1,1,0
22,5,0,32.84602355957031,6,9,0,-1
22,6,0,32.450439453125,7,8,0,-1
22,7,-1,-1.0,-1,-1,1,1
22,8,-1,-1.0,-1,-1,1,0
22,9,-1,-1.0,-1,-1,1,1
22,10,1,18.812231063842773,11,18,0,-1
22,11,4,7.271636724472046,12,17,0,-1
22,12,1,5.6961586475372314,13,14,0,-1
22,13,-1,-1.0,-1,-1,1,0
22,14,4,5.998413324356079,15,16,0,-1
22,15,-1,-1.0,-1,-1,1,0
22,16,-1,-1.0,-1,-1,1,1
22,17,-1,-1.0,-1,-1,1,0
22,18,4,7.22624945640564,19,24,0,-1
22,19,3,12.122342586517334,20,21,0,-1
22,20,-1,-1.0,-1,-1,1,1
22,21,3,12.340706825256348,22,23,0,-1
22,22,-1,-1.0,-1,-1,1,0
22,23,-1,-1.0,-1,-1,1,1
22,24,-1,-1.0,-1,-1,1,0
23,0,2,4.5736024379730225,1,10,0,-1
23,1,0,33.74517631530762,2,9,0,-1
23,2,3,27.237611770629883,3,4,0,-1
23,3,-1,-1.0,-1,-1,1,1
23,4,3,27.715267181396484,5,6,0,-1
23,5,-1,-1.0,-1,-1,1,0
23,6,0,33.52067947387695,7,8,0,-1
23,7,-1,-1.0,-1,-1,1,1
23,8,-1,-1.0,-1,-1,1,0
23,9,-1,-1.0,-1,-1,1,1
23,10,0,12.278441429138184,11,16,0,-1
23,11,4,7.218616008758545,12,15,0,-1
23,12,4,5.998413324356079,13,14,0,-1
23,13,-1,-1.0,-1,-1,1,0
23,14,-1,-1.0,-1,-1,1,1
23,15,-1,-1.0,-1,-1,1,0
23,16,0,14.619840145111084,17,22,0,-1
23,17,4,7.313310623168945,18,21,0,-1
23,18,4,5.998413324356079,19,20,0,-1
23,19,-1,-1.0,-1,-1,1,0
23,20,-1,-1.0,-1,-1,1,1
23,21,-1,-1.0,-1,-1,1,0
23,22,0,16.038845539093018,23,28,0,-1
23,23,2,15.498802661895752,24,25,0,-1
23,24,-1,-1.0,-1,-1,1,0
23,25,4,7.313310623168945,26,27,0,-1
23,26,-1,-1.0,-1,-1,1,1
23,27,-1,-1.0,-1,-1,1,0
23,28,4,5.9540088176727295,29,30,0,-1
23,29,-1,-1.0,-1,-1,1,0
23,30,-1,-1.0,-1,-1,1,1
24,0,4,7.982982397079468,1,12,0,-1
24,1,3,25.09451389312744,2,3,0,-1
24,2,-1,-1.0,-1,-1,1,1
24,3,4,5.942466974258423,4,5,0,-1
24,4,-1,-1.0,-1,-1,1,0
24,5,3,27.972201347351074,6,11,0,-1
24,6,0,31.92426872253418,7,8,0,-1
24,7,-1,-1.0,-1,-1,1,1
24,8,3,27.20513343811035,9,10,0,-1
24,9,-1,-1.0,-1,-1,1,1
24,10,-1,-1.0,-1,-1,1,0
24,11,-1,-1.0,-1,-1,1,1
24,12,3,18.955506801605225,13,14,0,-1
24,13,-1,-1.0,-1,-1,1,0
24,14,-1,-1.0,-1,-1,1,1
25,0,4,7.959711074829102,1,20,0,-1
25,1,0,15.430607795715332,2,7,0,-1
25,2,3,12.15721845626831,3,4,0,-1
25,3,-1,-1.0,-1,-1,1,1
25,4,3,12.196160793304443,5,6,0,-1
25,5,-1,-1.0,-1,-1,1,0
25,6,-1,-1.0,-1,-1,1,1
25,7,1,3.584962487220764,8,15,0,-1
25,8,4,7.194681406021118,9,10,0,-1
25,9,-1,-1.0,-1,-1,1,1
25,10,3,29.48156452178955,11,14,0,-1
25,11,3,26.243927001953125,12,13,0,-1
25,12,-1,-1.0,-1,-1,1,1
25,13,-1,-1.0,-1,-1,1,0
25,14,-1,-1.0,-1,-1,1,1
25,15,3,20.531551361083984,16,19,0,-1
25,16,0,15.854342460632324,17,18,0,-1
25,17,-1,-1.0,-1,-1,1,0
25,18,-1,-1.0,-1,-1,1,1
25,19,-1,-1.0,-1,-1,1,0
25,20,2,9.89585280418396,21,28,0,-1
25,21,0,32.908836364746094,22,27,0,-1
25,22,2,0.7924812436103821,23,26,0,-1
25,23,0,32.40342903137207,24,25,0,-1
25,24,-1,-1.0,-1,-1,1,1
25,25,-1,-1.0,-1,-1,1,0
25,26,-1,-1.0,-1,-1,1,1
25,27,-1,-1.0,-1,-1,1,1
25,28,-1,-1.0,-1,-1,1,0
26,0,4,7.985839128494263,1,20,0,-1
26,1,2,18.713905334472656,2,19,0,-1
26,2,1,19.07663059234619,3,14,0,-1
26,3,3,25.00850009918213,4,5,0,-1
26,4,-1,-1.0,-1,-1,1,1
26,5,4,5.942466974258423,6,7,0,-1
26,6,-1,-1.0,-1,-1,1,0
26,7,1,0.5,8,13,0,-1
26,8,0,34.072593688964844,9,12,0,-1
26,9,0,33.566545486450195,10,11,0,-1
26,10,-1,-1.0,-1,-1,1,1
26,11,-1,-1.0,-1,-1,1,0
26,12,-1,-1.0,-1,-1,1,1
26,13,-1,-1.0,-1,-1,1,1
26,14,1,19.15428924560547,15,16,0,-1
26,15,-1,-1.0,-1,-1,1,0
26,16,4,6.070095539093018,17,18,0,-1
26,17,-1,-1.0,-1,-1,1,0
26,18,-1,-1.0,-1,-1,1,1
26,19,-1,-1.0,-1,-1,1,1
26,20,3,19.30094861984253,21,22,0,-1
26,21,-1,-1.0,-1,-1,1,0
26,22,-1,-1.0,-1,-1,1,1
27,0,1,3.453445315361023,1,2,0,-1
